Season,Make,Entries,Wins,Top5,Top10,Avg_Finish,Win_Rate_Per_entry
1955,Oldsmobile,307,10,65,134,13.827361563517915,3.257328990228013
1958,Plymouth,39,0,3,6,17.871794871794872,0.0
1989,Chevrolet,204,13,47,65,17.862745098039216,6.372549019607843
1992,Oldsmobile,129,2,14,30,19.496124031007753,1.550387596899225
2021,Chevrolet,646,19,73,153,20.61609907120743,2.941176470588235
2021,Toyota,208,10,56,86,16.110576923076923,4.807692307692308
1970,Pontiac,10,0,0,2,22.6,0.0
1979,Buick,70,0,1,15,20.685714285714287,0.0
2006,Dodge,484,7,29,74,24.361570247933884,1.4462809917355373
1954,Hudson,295,17,73,129,15.99322033898305,5.762711864406779
1970,Buick,17,0,0,4,15.117647058823529,0.0
1971,Oldsmobile,2,0,0,0,30.5,0.0
2001,Chevrolet,423,16,52,100,21.36643026004728,3.7825059101654848
2011,Ford,421,7,46,89,23.085510688836106,1.66270783847981
1954,Lincoln,11,0,0,1,26.181818181818183,0.0
1984,Chevrolet,542,21,90,166,19.051660516605168,3.8745387453874542
2007,Dodge,378,3,21,59,23.891534391534393,0.7936507936507936
1960,Dodge,42,1,2,12,18.642857142857142,2.380952380952381
1955,Cadillac,5,0,0,0,29.8,0.0
2023,Toyota,218,10,52,91,14.830275229357799,4.587155963302752
1970,Oldsmobile,4,0,0,1,17.5,0.0
1975,Dodge,217,14,39,54,18.838709677419356,6.451612903225806
1983,Buick,274,6,37,79,19.1021897810219,2.18978102189781
2009,Dodge,281,4,21,51,23.725978647686834,1.4234875444839856
1952,-,5,0,0,0,28.8,0.0
1967,Dodge,210,5,58,101,15.523809523809524,2.380952380952381
