Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
1964,Darlington Raceway,intermediate,76,2,164.6315789473684,1.0,364.0,3,2
2016,Phoenix Raceway,intermediate,79,2,305.34177215189874,51.0,324.0,38,2
2013,Daytona International Speedway,intermediate,86,2,163.4418604651163,23.0,200.0,53,1
2007,Indianapolis Motor Speedway,intermediate,43,1,138.25581395348837,13.0,160.0,21,1
2014,Indianapolis Motor Speedway,intermediate,43,1,156.41860465116278,96.0,160.0,26,1
2024,Bristol Motor Speedway,short,73,2,487.32876712328766,192.0,500.0,15,2
1952,Wilson Speedway,short,22,1,129.77272727272728,12.0,200.0,1,1
2014,Auto Club Speedway,intermediate,43,1,198.32558139534885,68.0,206.0,24,1
2025,New Hampshire Motor Speedway,intermediate,36,1,282.52777777777777,117.0,301.0,24,1
1960,Gamecock Speedway,short,13,1,168.3846153846154,34.0,200.0,2,1
1999,Indianapolis Motor Speedway,intermediate,43,1,151.69767441860466,41.0,160.0,21,1
1962,Rambi Race Track,short,38,2,151.55263157894737,1.0,200.0,2,2
1957,Cleveland County Fairgrounds,short,39,2,166.64102564102564,58.0,200.0,5,2
2009,Bristol Motor Speedway,short,86,2,453.9651162790698,8.0,503.0,38,1
2004,Dover International Speedway,intermediate,86,2,316.5348837209302,2.0,400.0,13,2
1980,Charlotte Motor Speedway,intermediate,83,2,260.5421686746988,6.0,400.0,6,2
1998,Darlington Raceway,intermediate,86,2,312.63953488372096,26.0,367.0,13,2
1970,Charlotte Motor Speedway,intermediate,80,2,242.4,6.0,400.0,3,2
1960,Richmond Raceway,short,38,2,150.8684210526316,0.0,200.0,5,2
1957,Occoneechee Speedway,intermediate,19,1,81.21052631578948,1.0,110.0,2,1
1970,Langley Field Speedway,short,55,2,201.3090909090909,1.0,300.0,3,2
1976,Nashville Speedway,intermediate,60,2,308.5833333333333,1.0,420.0,6,2
2023,Sonoma Raceway,road course,36,1,109.38888888888889,92.0,110.0,31,1
2024,Dover International Speedway,intermediate,37,1,377.9189189189189,66.0,400.0,17,1
2019,Bristol Motor Speedway,short,76,2,462.44736842105266,3.0,500.0,23,2
2013,Watkins Glen International,road course,43,1,80.30232558139535,4.0,90.0,29,1
2003,Las Vegas Motor Speedway,intermediate,43,1,244.2093023255814,114.0,267.0,11,1
2020,Kentucky Speedway,intermediate,38,1,259.39473684210526,159.0,267.0,26,1
1993,Watkins Glen International,road course,38,1,77.23684210526316,0.0,90.0,19,1
1981,Talladega Superspeedway,superspeedway,82,2,117.78048780487805,1.0,188.0,9,2
1955,Arizona State Fairgrounds,intermediate,29,1,78.20689655172414,15.0,100.0,1,1
1962,Richmond Raceway,short,58,2,164.74137931034483,1.0,300.0,2,2
1980,Pocono Raceway,intermediate,40,1,144.075,0.0,200.0,6,1
2025,Richmond Raceway,intermediate,38,1,388.0263157894737,197.0,400.0,13,1
1985,North Wilkesboro Speedway,intermediate,61,2,358.72131147540983,36.0,400.0,9,2
2003,Bristol Motor Speedway,short,86,2,437.3837209302326,31.0,500.0,28,1
1964,South Boston Speedway,short,18,1,194.83333333333334,9.0,267.0,2,1
1965,Islip Speedway,short,22,1,152.95454545454547,9.0,250.0,1,1
2002,Chicagoland Speedway,intermediate,43,1,244.37209302325581,124.0,267.0,15,1
2007,Watkins Glen International,road course,43,1,86.5813953488372,56.0,90.0,33,1
1966,Atlanta Motor Speedway,intermediate,86,2,169.04651162790697,1.0,334.0,3,2
1993,Rockingham Speedway,intermediate,81,2,431.12345679012344,8.0,492.0,12,1
1974,Darlington Raceway,intermediate,80,2,193.3875,1.0,367.0,4,2
1972,Trenton Speedway,intermediate,33,1,141.27272727272728,2.0,200.0,2,1
1978,Riverside International Raceway,road course,70,2,79.2,3.0,119.0,8,2
2008,Darlington Raceway,intermediate,43,1,347.1162790697674,234.0,367.0,20,1
1978,Darlington Raceway,intermediate,76,2,254.46052631578948,9.0,367.0,4,2
1984,Martinsville Speedway,short,62,2,382.69354838709677,1.0,500.0,5,2
1950,Monroe County Fairgrounds,short,25,1,165.24,60.0,200.0,1,1
1965,Darlington Raceway,intermediate,77,2,173.45454545454547,0.0,364.0,3,2
2022,Road America,road course,37,1,59.67567567567568,9.0,62.0,29,1
1957,Jacksonville Speedway,short,19,1,125.0,12.0,200.0,1,1
2012,Texas Motor Speedway,intermediate,86,2,281.2325581395349,6.0,335.0,36,2
2015,Daytona International Speedway,intermediate,86,2,168.62790697674419,2.0,203.0,61,2
2025,Autodromo Hermanos Rodriguez,speedway,37,1,95.5945945945946,6.0,100.0,31,1
1972,Darlington Raceway,intermediate,76,2,208.19736842105263,7.0,367.0,3,2
2022,Texas Motor Speedway,intermediate,36,1,300.72222222222223,48.0,334.0,25,1
1957,Titusville-Cocoa Speedway,road course,15,1,47.13333333333333,17.0,56.0,4,1
1964,Islip Speedway,short,22,1,163.0,3.0,300.0,1,1
1981,Bristol Motor Speedway,short,61,2,369.37704918032784,3.0,500.0,5,1
